INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
14 Jalisco,Mujeres,20-24 años,"339,943","13,832","6,140","8,289","14,630","13,167","17,084","13,011","31,222","13,512","26,652","10,092","19,340","26,101","126,871"
14 Jalisco,Mujeres,25-29 años,"304,310","11,033","5,196","7,136","13,018","11,990","15,998","11,990","28,380","12,120","25,862","9,028","16,554","24,104","111,901"
14 Jalisco,Mujeres,30-34 años,"284,977","10,672","5,238","6,880","12,502","11,645","15,043","12,116","27,014","11,805","24,721","8,258","15,297","23,873","99,913"
14 Jalisco,Mujeres,35-39 años,"276,964","9,572","4,850","6,501","11,779","10,615","13,702","11,583","25,583","11,300","22,746","8,017","15,763","23,686","101,267"
14 Jalisco,Mujeres,40-44 años,"232,932","8,398","3,923","5,223","9,706","8,793","11,092","9,191","20,901","9,204","17,623","6,805","13,419","18,788","89,866"
14 Jalisco,Mujeres,45-49 años,"196,067","7,249","3,284","4,390","8,251","7,378","9,050","7,363","16,729","7,758","14,054","5,341","11,109","14,604","79,507"
14 Jalisco,Mujeres,50-54 años,"172,168","6,511","2,862","4,001","6,905","6,337","7,446","6,328","14,290","6,652","11,695","4,245","8,534","12,468","73,894"
14 Jalisco,Mujeres,55-59 años,"133,997","5,649","2,418","3,336","5,657","5,136","5,888","5,048","10,852","5,019","8,968","2,924","5,691","8,995","58,416"
14 Jalisco,Mujeres,60-64 años,"111,128","5,041","2,159","2,835","5,191","4,428","4,920","4,299","8,901","4,196","7,132","2,341","3,932","6,984","48,769"
14 Jalisco,Mujeres,65-69 años,"81,361","4,389","1,905","2,436","4,203","3,660","3,806","3,356","6,598","2,995","5,196","1,493","2,662","4,667","33,995"
14 Jalisco,Mujeres,70-74 años,"63,032","3,679","1,591","2,001","3,623","3,092","3,138","2,811","5,380","2,451","3,925",994,"1,853","3,166","25,328"
14 Jalisco,Mujeres,75-79 años,"43,364","2,493","1,150","1,463","2,576","2,098","2,155","1,952","3,693","1,551","2,629",653,"1,226","2,136","17,589"
14 Jalisco,Mujeres,80-84 años,"30,196","1,596",791,955,"1,741","1,467","1,506","1,291","2,465","1,196","1,854",478,746,"1,509","12,601"
14 Jalisco,Mujeres,85-89 años,"18,465","1,023",530,656,"1,105",959,"1,019",864,"1,570",777,"1,094",236,470,800,"7,362"
14 Jalisco,Mujeres,90-94 años,"7,968",444,213,279,503,423,435,350,640,338,465,107,167,319,"3,285"
14 Jalisco,Mujeres,95-99 años,"3,073",206,97,102,235,171,179,131,276,128,150,53,65,108,"1,172"
14 Jalisco,Mujeres,100 años y más,669,56,29,28,46,33,44,26,65,32,25,12,10,27,236
14 Jalisco,Mujeres,No especificado,"43,339",436,213,514,"1,353","1,267","1,056","2,284","2,488",901,"2,117","2,795","3,322","2,621","21,972"
15 México,Total,Total,"15,175,862","180,547","275,357","530,405","987,849","925,636","949,072","527,932","934,104","398,033","563,942","1,383,934","2,701,447","2,058,004","2,759,600"
15 México,Total,00-04 años,"1,426,612","19,956","31,520","61,316","112,723","101,086","99,366","52,513","89,545","38,952","51,303","129,017","232,321","179,469","227,525"
15 México,Total,05-09 años,"1,498,274","20,937","33,023","63,707","116,912","103,733","103,078","55,869","92,418","43,307","54,296","138,357","245,596","186,077","240,964"
15 México,Total,10-14 años,"1,429,028","21,517","32,480","61,263","109,503","96,693","95,215","52,641","86,933","40,422","51,610","130,320","236,976","176,449","237,006"
15 México,Total,15-19 años,"1,467,148","20,425","30,798","59,059","107,743","96,159","94,648","52,304","89,107","38,691","54,054","130,326","253,138","187,508","253,188"
15 México,Total,20-24 años,"1,364,380","14,949","23,955","46,995","90,043","84,809","86,127","47,106","84,696","33,359","51,195","118,041","249,394","185,541","248,170"
15 México,Total,25-29 años,"1,233,854","11,916","19,780","39,639","77,018","75,561","78,982","42,582","76,656","30,617","46,691","112,592","224,834","171,051","225,935"
15 México,Total,30-34 años,"1,198,515","11,587","19,241","37,585","73,657","73,309","77,622","43,438","74,041","33,219","44,800","119,732","213,424","162,363","214,497"
15 México,Total,35-39 años,"1,193,988","11,065","17,570","34,577","68,008","68,095","72,227","43,033","73,009","36,441","46,068","122,857","216,586","161,852","222,600"
15 México,Total,40-44 años,"1,003,492","9,281","14,732","28,897","55,058","55,018","58,623","34,690","60,884","29,326","39,829","98,337","189,452","137,211","192,154"
15 México,Total,45-49 años,"831,164","8,077","12,051","23,238","44,532","43,975","47,026","27,184","50,307","21,586","33,646","76,970","164,915","113,822","163,835"
15 México,Total,50-54 años,"695,328","6,988","9,828","18,497","34,851","34,805","37,644","21,508","42,127","15,862","28,044","61,555","141,651","98,267","143,701"
15 México,Total,55-59 años,"509,884","5,575","7,545","14,258","25,539","24,604","26,746","15,575","30,095","10,603","19,706","43,538","101,604","74,894","109,602"
15 México,Total,60-64 años,"392,349","4,637","6,117","11,090","19,939","19,028","20,161","11,739","22,903","7,458","13,918","31,606","74,348","62,057","87,348"
15 México,Total,65-69 años,"270,138","3,838","4,904","8,953","15,795","14,213","14,711","8,342","15,688","4,994","8,783","19,773","46,530","43,865","59,749"
15 México,Total,70-74 años,"200,542","3,395","4,155","7,549","12,784","11,719","11,812","6,395","11,798","3,567","6,194","13,451","31,227","33,045","43,451"
15 México,Total,75-79 años,"129,423","2,502","2,977","5,300","8,982","8,038","7,790","4,444","7,611","2,249","3,927","8,092","19,106","21,261","27,144"
15 México,Total,80-84 años,"78,893","1,576","1,854","3,164","5,358","4,839","4,933","2,772","4,865","1,410","2,495","4,992","11,841","12,900","15,894"
15 México,Total,85-89 años,"44,498",955,"1,175","2,044","3,533","3,044","3,066","1,627","2,865",796,"1,473","2,764","6,384","6,529","8,243"
15 México,Total,90-94 años,"14,612",331,352,620,"1,059",983,996,516,"1,004",270,465,887,"2,268","2,177","2,684"
15 México,Total,95-99 años,"5,814",129,164,302,464,440,439,204,410,109,158,310,841,837,"1,007"
15 México,Total,100 años y más,"1,378",57,53,100,152,116,92,61,83,23,47,72,162,143,217
15 México,Total,No especificado,"186,548",854,"1,083","2,252","4,196","5,369","7,768","3,389","17,059","4,772","5,240","20,345","38,849","40,686","34,686"
15 México,Hombres,Total,"7,396,986","89,420","135,534","260,752","485,144","455,801","465,732","258,458","454,307","194,223","274,467","673,010","1,309,888","1,001,832","1,338,418"
15 México,Hombres,00-04 años,"723,127","10,168","16,066","30,978","56,852","51,322","50,364","26,441","45,440","19,696","26,084","65,509","118,011","91,162","115,034"
15 México,Hombres,05-09 años,"760,231","10,541","16,825","32,183","59,021","52,961","52,108","28,526","47,038","22,021","27,356","70,389","124,574","94,308","122,380"
15 México,Hombres,10-14 años,"723,622","10,993","16,441","31,170","55,296","48,934","48,270","26,680","44,090","20,537","26,206","65,607","119,869","89,646","119,883"
15 México,Hombres,15-19 años,"734,320","10,342","15,315","29,571","53,836","47,941","47,470","26,476","44,277","19,520","27,328","64,578","126,798","93,714","127,154"
15 México,Hombres,20-24 años,"668,827","7,180","11,462","22,557","43,462","41,563","42,267","23,062","41,501","16,191","25,076","57,782","122,099","91,863","122,762"
15 México,Hombres,25-29 años,"591,831","5,607","9,169","18,681","36,864","36,491","37,732","20,105","36,442","14,412","22,462","52,556","108,619","83,550","109,141"
15 México,Hombres,30-34 años,"565,928","5,406","9,146","17,840","34,911","35,017","37,101","20,439","34,624","15,338","21,002","55,786","99,840","77,825","101,653"
15 México,Hombres,35-39 años,"566,526","5,352","8,478","16,752","32,848","32,883","34,774","20,437","34,470","17,268","21,655","58,814","100,912","77,088","104,795"
15 México,Hombres,40-44 años,"478,370","4,593","7,146","13,979","26,800","26,760","28,279","16,814","28,751","14,231","18,753","47,280","88,869","65,468","90,647"
15 México,Hombres,45-49 años,"395,154","3,946","5,891","11,380","21,921","21,286","22,644","13,071","23,842","10,498","15,885","37,036","77,292","53,553","76,909"
15 México,Hombres,50-54 años,"329,825","3,482","4,921","9,125","17,383","17,019","18,201","10,361","19,977","7,667","13,330","28,982","66,548","45,859","66,970"
15 México,Hombres,55-59 años,"244,538","2,803","3,735","7,136","12,649","12,110","13,111","7,565","14,545","5,157","9,532","20,789","48,900","34,976","51,530"
15 México,Hombres,60-64 años,"185,672","2,306","3,025","5,487","9,685","9,240","9,617","5,628","10,895","3,516","6,723","15,040","35,407","28,417","40,686"
15 México,Hombres,65-69 años,"126,755","1,880","2,351","4,295","7,380","6,625","6,923","4,014","7,371","2,260","4,131","9,285","22,087","20,062","28,091"
15 México,Hombres,70-74 años,"91,438","1,687","2,017","3,398","5,811","5,323","5,389","2,916","5,411","1,488","2,716","6,237","14,155","15,017","19,873"
15 México,Hombres,75-79 años,"58,326","1,243","1,413","2,468","3,974","3,659","3,535","2,030","3,342",961,"1,761","3,608","8,356","9,636","12,340"
15 México,Hombres,80-84 años,"33,293",749,842,"1,375","2,261","2,059","2,163","1,195","2,041",587,"1,016","2,047","4,721","5,603","6,634"
15 México,Hombres,85-89 años,"17,985",474,523,879,"1,461","1,230","1,315",675,"1,190",345,598,"1,078","2,348","2,648","3,221"
15 México,Hombres,90-94 años,"5,459",159,153,234,427,380,405,221,384,111,168,316,743,776,982
15 México,Hombres,95-99 años,"1,925",58,52,92,145,146,163,73,131,36,52,100,256,264,357
15 México,Hombres,100 años y más,424,24,18,34,51,32,25,19,30,8,20,19,46,40,58
15 México,Hombres,No especificado,"93,410",427,545,"1,138","2,106","2,820","3,876","1,710","8,515","2,375","2,613","10,172","19,438","20,357","17,318"
15 México,Mujeres,Total,"7,778,876","91,127","139,823","269,653","502,705","469,835","483,340","269,474","479,797","203,810","289,475","710,924","1,391,559","1,056,172","1,421,182"
15 México,Mujeres,00-04 años,"703,485","9,788","15,454","30,338","55,871","49,764","49,002","26,072","44,105","19,256","25,219","63,508","114,310","88,307","112,491"
15 México,Mujeres,05-09 años,"738,043","10,396","16,198","31,524","57,891","50,772","50,970","27,343","45,380","21,286","26,940","67,968","121,022","91,769","118,584"
15 México,Mujeres,10-14 años,"705,406","10,524","16,039","30,093","54,207","47,759","46,945","25,961","42,843","19,885","25,404","64,713","117,107","86,803","117,123"
15 México,Mujeres,15-19 años,"732,828","10,083","15,483","29,488","53,907","48,218","47,178","25,828","44,830","19,171","26,726","65,748","126,340","93,794","126,034"
15 México,Mujeres,20-24 años,"695,553","7,769","12,493","24,438","46,581","43,246","43,860","24,044","43,195","17,168","26,119","60,259","127,295","93,678","125,408"
15 México,Mujeres,25-29 años,"642,023","6,309","10,611","20,958","40,154","39,070","41,250","22,477","40,214","16,205","24,229","60,036","116,215","87,501","116,794"
15 México,Mujeres,30-34 años,"632,587","6,181","10,095","19,745","38,746","38,292","40,521","22,999","39,417","17,881","23,798","63,946","113,584","84,538","112,844"
15 México,Mujeres,35-39 años,"627,462","5,713","9,092","17,825","35,160","35,212","37,453","22,596","38,539","19,173","24,413","64,043","115,674","84,764","117,805"
15 México,Mujeres,40-44 años,"525,122","4,688","7,586","14,918","28,258","28,258","30,344","17,876","32,133","15,095","21,076","51,057","100,583","71,743","101,507"
15 México,Mujeres,45-49 años,"436,010","4,131","6,160","11,858","22,611","22,689","24,382","14,113","26,465","11,088","17,761","39,934","87,623","60,269","86,926"
15 México,Mujeres,50-54 años,"365,503","3,506","4,907","9,372","17,468","17,786","19,443","11,147","22,150","8,195","14,714","32,573","75,103","52,408","76,731"
15 México,Mujeres,55-59 años,"265,346","2,772","3,810","7,122","12,890","12,494","13,635","8,010","15,550","5,446","10,174","22,749","52,704","39,918","58,072"
15 México,Mujeres,60-64 años,"206,677","2,331","3,092","5,603","10,254","9,788","10,544","6,111","12,008","3,942","7,195","16,566","38,941","33,640","46,662"
15 México,Mujeres,65-69 años,"143,383","1,958","2,553","4,658","8,415","7,588","7,788","4,328","8,317","2,734","4,652","10,488","24,443","23,803","31,658"
15 México,Mujeres,70-74 años,"109,104","1,708","2,138","4,151","6,973","6,396","6,423","3,479","6,387","2,079","3,478","7,214","17,072","18,028","23,578"
15 México,Mujeres,75-79 años,"71,097","1,259","1,564","2,832","5,008","4,379","4,255","2,414","4,269","1,288","2,166","4,484","10,750","11,625","14,804"
15 México,Mujeres,80-84 años,"45,600",827,"1,012","1,789","3,097","2,780","2,770","1,577","2,824",823,"1,479","2,945","7,120","7,297","9,260"
15 México,Mujeres,85-89 años,"26,513",481,652,"1,165","2,072","1,814","1,751",952,"1,675",451,875,"1,686","4,036","3,881","5,022"
15 México,Mujeres,90-94 años,"9,153",172,199,386,632,603,591,295,620,159,297,571,"1,525","1,401","1,702"
15 México,Mujeres,95-99 años,"3,889",71,112,210,319,294,276,131,279,73,106,210,585,573,650
15 México,Mujeres,100 años y más,954,33,35,66,101,84,67,42,53,15,27,53,116,103,159
15 México,Mujeres,No especificado,"93,138",427,538,"1,114","2,090","2,549","3,892","1,679","8,544","2,397","2,627","10,173","19,411","20,329","17,368"
16 Michoacán de Ocampo,Total,Total,"4,351,037","315,697","255,831","336,454","454,706","402,907","306,908","251,706","212,792","174,608","635,851","141,627","264,439","597,511",0
16 Michoacán de Ocampo,Total,00-04 años,"425,698","33,375","26,903","34,987","47,298","41,386","31,674","26,174","20,800","17,355","61,548","13,860","24,085","46,253",0
16 Michoacán de Ocampo,Total,05-09 años,"434,860","34,604","27,076","35,476","46,643","41,958","31,743","25,478","21,373","17,635","63,935","13,869","25,074","49,996",0
16 Michoacán de Ocampo,Total,10-14 años,"443,721","37,619","28,378","36,720","47,508","42,237","31,635","25,670","21,686","18,012","63,664","13,632","25,718","51,242",0
16 Michoacán de Ocampo,Total,15-19 años,"453,827","36,748","28,411","36,808","47,679","42,642","31,494","25,852","21,697","17,902","64,450","13,941","26,539","59,664",0
16 Michoacán de Ocampo,Total,20-24 años,"392,338","26,007","21,844","28,236","39,332","35,381","27,422","23,010","19,022","15,578","57,699","13,120","23,819","61,868",0
16 Michoacán de Ocampo,Total,25-29 años,"322,064","20,278","17,451","22,837","32,520","29,642","22,952","19,265","15,948","13,262","48,930","11,209","20,182","47,588",0
16 Michoacán de Ocampo,Total,30-34 años,"303,108","19,285","16,622","22,276","31,344","28,842","22,029","18,217","14,949","12,289","45,929","10,365","19,102","41,859",0
16 Michoacán de Ocampo,Total,35-39 años,"290,448","18,256","15,695","21,184","29,456","26,433","19,960","16,667","14,378","11,918","45,115","9,934","18,736","42,716",0
16 Michoacán de Ocampo,Total,40-44 años,"247,704","15,609","13,044","17,553","24,216","21,830","16,826","13,909","12,417","9,952","39,504","8,644","15,982","38,218",0
16 Michoacán de Ocampo,Total,45-49 años,"212,627","13,356","11,151","14,880","20,840","18,280","14,347","11,882","10,645","8,635","33,370","7,305","13,827","34,109",0
16 Michoacán de Ocampo,Total,50-54 años,"188,305","11,988","9,910","13,132","18,321","15,967","12,491","10,523","9,368","7,640","29,158","6,589","12,275","30,943",0
16 Michoacán de Ocampo,Total,55-59 años,"147,873","10,400","8,428","10,934","15,074","12,843","9,744","8,277","7,383","5,708","21,830","5,177","9,014","23,061",0
16 Michoacán de Ocampo,Total,60-64 años,"122,951","9,024","7,332","9,609","12,835","10,374","8,186","6,866","5,990","4,729","17,745","4,306","7,529","18,426",0
16 Michoacán de Ocampo,Total,65-69 años,"96,347","8,052","6,363","8,494","11,019","8,644","6,608","5,268","4,655","3,384","12,555","3,052","5,339","12,914",0
16 Michoacán de Ocampo,Total,70-74 años,"83,990","7,504","5,851","7,889","10,252","8,396","6,024","4,870","4,090","2,662","10,048","2,248","4,287","9,869",0
16 Michoacán de Ocampo,Total,75-79 años,"58,813","5,320","4,252","5,651","7,277","5,602","4,231","3,241","2,846","1,880","7,038","1,500","3,037","6,938",0
16 Michoacán de Ocampo,Total,80-84 años,"40,032","3,494","2,873","3,811","4,969","3,800","2,857","2,278","2,075","1,278","4,747","1,135","1,967","4,748",0
16 Michoacán de Ocampo,Total,85-89 años,"23,160","2,089","1,848","2,250","2,873","2,338","1,709","1,295","1,135",698,"2,706",546,"1,078","2,595",0
16 Michoacán de Ocampo,Total,90-94 años,"8,949",819,717,843,"1,142",887,697,525,441,252,979,244,438,965,0
16 Michoacán de Ocampo,Total,95-99 años,"3,839",372,305,403,482,405,301,226,195,102,390,87,170,401,0
16 Michoacán de Ocampo,Total,100 años y más,"1,046",121,76,88,143,120,93,70,65,28,107,26,39,70,0
16 Michoacán de Ocampo,Total,No especificado,"49,337","1,377","1,301","2,393","3,483","4,900","3,885","2,143","1,634","3,709","4,404",838,"6,202","13,068",0
16 Michoacán de Ocampo,Hombres,Total,"2,102,109","157,141","124,620","162,217","219,702","194,782","148,179","121,870","102,740","84,701","306,004","67,993","127,452","284,708",0
16 Michoacán de Ocampo,Hombres,00-04 años,"215,617","16,893","13,536","17,695","23,961","20,944","16,144","13,227","10,656","8,752","31,012","7,053","12,265","23,479",0
16 Michoacán de Ocampo,Hombres,05-09 años,"220,017","17,513","13,778","17,903","23,452","21,086","15,980","12,971","10,896","9,031","32,413","7,024","12,689","25,281",0
16 Michoacán de Ocampo,Hombres,10-14 años,"223,553","19,095","14,298","18,462","24,154","21,105","15,915","12,874","10,821","8,915","32,066","6,974","13,053","25,821",0
16 Michoacán de Ocampo,Hombres,15-19 años,"224,452","18,636","13,934","17,981","23,463","20,929","15,587","12,682","10,701","8,858","31,864","6,856","13,285","29,676",0
16 Michoacán de Ocampo,Hombres,20-24 años,"185,190","12,396","10,098","12,805","18,237","16,444","12,767","10,825","9,001","7,442","27,547","6,274","11,508","29,846",0
16 Michoacán de Ocampo,Hombres,25-29 años,"150,160","9,656","8,033","10,300","14,854","13,607","10,650","9,001","7,449","6,171","22,702","5,366","9,482","22,889",0
16 Michoacán de Ocampo,Hombres,30-34 años,"141,058","9,273","7,823","10,330","14,571","13,536","10,312","8,586","6,975","5,704","21,138","4,812","8,875","19,123",0
16 Michoacán de Ocampo,Hombres,35-39 años,"136,834","8,848","7,546","10,162","14,065","12,504","9,402","7,973","6,704","5,731","21,156","4,635","8,809","19,299",0
16 Michoacán de Ocampo,Hombres,40-44 años,"115,521","7,721","6,273","8,220","11,305","10,402","7,800","6,548","5,776","4,686","18,301","3,886","7,265","17,338",0
16 Michoacán de Ocampo,Hombres,45-49 años,"99,106","6,496","5,281","6,996","9,733","8,572","6,711","5,510","5,055","4,107","15,584","3,365","6,337","15,359",0
16 Michoacán de Ocampo,Hombres,50-54 años,"88,214","5,943","4,792","6,106","8,569","7,490","5,827","4,968","4,394","3,570","13,700","3,003","5,757","14,095",0
16 Michoacán de Ocampo,Hombres,55-59 años,"71,049","5,255","4,078","5,304","7,223","6,299","4,692","4,020","3,583","2,752","10,530","2,347","4,247","10,719",0
16 Michoacán de Ocampo,Hombres,60-64 años,"58,031","4,493","3,560","4,565","6,154","4,990","3,808","3,203","2,827","2,271","8,357","1,959","3,447","8,397",0
16 Michoacán de Ocampo,Hombres,65-69 años,"45,789","4,093","3,061","4,125","5,261","4,146","3,147","2,526","2,164","1,658","5,794","1,451","2,477","5,886",0
16 Michoacán de Ocampo,Hombres,70-74 años,"39,343","3,844","2,865","3,770","4,862","3,940","2,838","2,251","1,876","1,245","4,558","1,036","1,931","4,327",0
16 Michoacán de Ocampo,Hombres,75-79 años,"28,096","2,779","2,169","2,785","3,596","2,665","2,036","1,571","1,269",881,"3,204",685,"1,367","3,089",0
16 Michoacán de Ocampo,Hombres,80-84 años,"18,583","1,835","1,403","1,814","2,337","1,839","1,333","1,069",931,606,"2,102",487,859,"1,968",0
16 Michoacán de Ocampo,Hombres,85-89 años,"10,696","1,049",920,"1,091","1,364","1,117",812,616,515,298,"1,178",227,442,"1,067",0
16 Michoacán de Ocampo,Hombres,90-94 años,"4,017",430,342,391,537,408,319,242,200,109,409,86,173,371,0
16 Michoacán de Ocampo,Hombres,95-99 años,"1,652",170,139,198,203,172,125,108,96,52,159,37,59,134,0
16 Michoacán de Ocampo,Hombres,100 años y más,451,50,36,30,65,51,42,34,28,12,52,9,20,22,0
16 Michoacán de Ocampo,Hombres,No especificado,"24,680",673,655,"1,184","1,736","2,536","1,932","1,065",823,"1,850","2,178",421,"3,105","6,522",0
16 Michoacán de Ocampo,Mujeres,Total,"2,248,928","158,556","131,211","174,237","235,004","208,125","158,729","129,836","110,052","89,907","329,847","73,634","136,987","312,803",0
16 Michoacán de Ocampo,Mujeres,00-04 años,"210,081","16,482","13,367","17,292","23,337","20,442","15,530","12,947","10,144","8,603","30,536","6,807","11,820","22,774",0
16 Michoacán de Ocampo,Mujeres,05-09 años,"214,843","17,091","13,298","17,573","23,191","20,872","15,763","12,507","10,477","8,604","31,522","6,845","12,385","24,715",0
16 Michoacán de Ocampo,Mujeres,10-14 años,"220,168","18,524","14,080","18,258","23,354","21,132","15,720","12,796","10,865","9,097","31,598","6,658","12,665","25,421",0
16 Michoacán de Ocampo,Mujeres,15-19 años,"229,375","18,112","14,477","18,827","24,216","21,713","15,907","13,170","10,996","9,044","32,586","7,085","13,254","29,988",0
16 Michoacán de Ocampo,Mujeres,20-24 años,"207,148","13,611","11,746","15,431","21,095","18,937","14,655","12,185","10,021","8,136","30,152","6,846","12,311","32,022",0
16 Michoacán de Ocampo,Mujeres,25-29 años,"171,904","10,622","9,418","12,537","17,666","16,035","12,302","10,264","8,499","7,091","26,228","5,843","10,700","24,699",0
16 Michoacán de Ocampo,Mujeres,30-34 años,"162,050","10,012","8,799","11,946","16,773","15,306","11,717","9,631","7,974","6,585","24,791","5,553","10,227","22,736",0
16 Michoacán de Ocampo,Mujeres,35-39 años,"153,614","9,408","8,149","11,022","15,391","13,929","10,558","8,694","7,674","6,187","23,959","5,299","9,927","23,417",0
16 Michoacán de Ocampo,Mujeres,40-44 años,"132,183","7,888","6,771","9,333","12,911","11,428","9,026","7,361","6,641","5,266","21,203","4,758","8,717","20,880",0
16 Michoacán de Ocampo,Mujeres,45-49 años,"113,521","6,860","5,870","7,884","11,107","9,708","7,636","6,372","5,590","4,528","17,786","3,940","7,490","18,750",0
16 Michoacán de Ocampo,Mujeres,50-54 años,"100,091","6,045","5,118","7,026","9,752","8,477","6,664","5,555","4,974","4,070","15,458","3,586","6,518","16,848",0
16 Michoacán de Ocampo,Mujeres,55-59 años,"76,824","5,145","4,350","5,630","7,851","6,544","5,052","4,257","3,800","2,956","11,300","2,830","4,767","12,342",0
16 Michoacán de Ocampo,Mujeres,60-64 años,"64,920","4,531","3,772","5,044","6,681","5,384","4,378","3,663","3,163","2,458","9,388","2,347","4,082","10,029",0
16 Michoacán de Ocampo,Mujeres,65-69 años,"50,558","3,959","3,302","4,369","5,758","4,498","3,461","2,742","2,491","1,726","6,761","1,601","2,862","7,028",0
16 Michoacán de Ocampo,Mujeres,70-74 años,"44,647","3,660","2,986","4,119","5,390","4,456","3,186","2,619","2,214","1,417","5,490","1,212","2,356","5,542",0
16 Michoacán de Ocampo,Mujeres,75-79 años,"30,717","2,541","2,083","2,866","3,681","2,937","2,195","1,670","1,577",999,"3,834",815,"1,670","3,849",0
16 Michoacán de Ocampo,Mujeres,80-84 años,"21,449","1,659","1,470","1,997","2,632","1,961","1,524","1,209","1,144",672,"2,645",648,"1,108","2,780",0
16 Michoacán de Ocampo,Mujeres,85-89 años,"12,464","1,040",928,"1,159","1,509","1,221",897,679,620,400,"1,528",319,636,"1,528",0
16 Michoacán de Ocampo,Mujeres,90-94 años,"4,932",389,375,452,605,479,378,283,241,143,570,158,265,594,0
16 Michoacán de Ocampo,Mujeres,95-99 años,"2,187",202,166,205,279,233,176,118,99,50,231,50,111,267,0
16 Michoacán de Ocampo,Mujeres,100 años y más,595,71,40,58,78,69,51,36,37,16,55,17,19,48,0
16 Michoacán de Ocampo,Mujeres,No especificado,"24,657",704,646,"1,209","1,747","2,364","1,953","1,078",811,"1,859","2,226",417,"3,097","6,546",0
17 Morelos,Total,Total,"1,777,227","55,148","41,809","61,318","128,614","151,271","172,126","132,695","189,099","91,924","97,788","316,785","338,650",0,0
17 Morelos,Total,00-04 años,"155,669","5,410","4,165","6,231","12,338","13,825","15,552","12,243","16,540","9,063","9,290","27,087","23,925",0,0
17 Morelos,Total,05-09 años,"166,908","6,020","4,401","6,602","13,204","14,830","16,681","13,233","17,926","9,500","9,617","28,769","26,125",0,0
17 Morelos,Total,10-14 años,"167,487","5,862","4,526","6,483","12,920","15,005","16,780","12,916","17,881","9,103","9,616","29,097","27,298",0,0
17 Morelos,Total,15-19 años,"175,625","5,846","4,472","6,568","13,457","15,944","17,670","13,582","18,720","9,243","10,198","30,354","29,571",0,0
17 Morelos,Total,20-24 años,"155,671","4,587","3,661","5,194","11,011","13,069","14,951","11,892","16,913","7,937","9,023","28,586","28,847",0,0
17 Morelos,Total,25-29 años,"133,544","3,902","2,932","4,242","9,270","10,646","12,557","10,020","14,330","7,080","7,745","25,263","25,557",0,0
17 Morelos,Total,30-34 años,"128,812","3,809","3,040","4,284","9,390","10,398","12,254","9,540","13,843","7,159","7,059","24,011","24,025",0,0
17 Morelos,Total,35-39 años,"129,072","3,781","2,979","4,236","9,094","10,731","12,420","9,158","13,528","6,970","7,049","24,158","24,968",0,0
17 Morelos,Total,40-44 años,"111,381","3,312","2,475","3,571","7,715","9,403","10,743","8,308","11,833","5,502","5,891","20,607","22,021",0,0
17 Morelos,Total,45-49 años,"97,105","2,799","2,074","3,005","6,795","8,315","9,229","7,160","10,225","4,514","5,102","17,948","19,939",0,0
17 Morelos,Total,50-54 años,"86,282","2,391","1,779","2,608","5,728","7,172","8,073","6,197","9,197","3,933","4,449","16,299","18,456",0,0
17 Morelos,Total,55-59 años,"66,904","1,876","1,349","2,087","4,451","5,524","6,326","4,859","7,221","3,016","3,320","12,473","14,402",0,0
17 Morelos,Total,60-64 años,"53,604","1,515","1,062","1,625","3,564","4,151","5,024","3,829","5,780","2,332","2,823","9,630","12,269",0,0
17 Morelos,Total,65-69 años,"40,104","1,143",825,"1,254","2,842","3,401","3,839","2,850","4,422","1,767","2,164","6,804","8,793",0,0
17 Morelos,Total,70-74 años,"32,988",916,677,"1,019","2,360","3,024","3,395","2,498","3,852","1,348","1,652","5,263","6,984",0,0
17 Morelos,Total,75-79 años,"23,535",567,477,740,"1,768","2,175","2,486","1,688","2,642",996,"1,165","3,682","5,149",0,0
17 Morelos,Total,80-84 años,"14,917",331,263,450,"1,070","1,367","1,587","1,037","1,685",602,716,"2,312","3,497",0,0
17 Morelos,Total,85-89 años,"8,567",156,162,253,623,810,891,626,899,360,399,"1,320","2,068",0,0
17 Morelos,Total,90-94 años,"2,702",55,43,88,188,234,237,191,231,92,161,480,702,0,0
17 Morelos,Total,95-99 años,"1,134",25,21,37,88,109,107,78,132,54,63,171,249,0,0
17 Morelos,Total,100 años y más,327,14,10,9,28,25,24,23,36,13,22,53,70,0,0
17 Morelos,Total,No especificado,"24,889",831,416,732,710,"1,113","1,300",767,"1,263","1,340",264,"2,418","13,735",0,0
17 Morelos,Hombres,Total,"858,588","27,515","20,660","30,350","64,065","73,621","83,130","64,079","91,600","44,897","47,276","151,396","159,999",0,0
