INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,Mujeres,60-64 años,"1,639,799","82,359","65,855","87,707","119,313","82,732","79,728","48,623","85,639","57,081","81,238","122,437","222,671","259,474","244,942"
Estados Unidos Mexicanos,Mujeres,65-69 años,"1,221,992","69,456","55,819","73,108","98,669","66,575","62,205","36,840","63,736","41,962","57,946","85,242","154,843","182,855","172,736"
Estados Unidos Mexicanos,Mujeres,70-74 años,"1,000,041","62,310","49,404","66,045","87,322","59,317","53,401","31,858","53,365","34,253","44,769","65,198","121,798","139,244","131,757"
Estados Unidos Mexicanos,Mujeres,75-79 años,"665,794","40,050","32,408","42,836","57,291","39,088","35,336","21,072","35,237","22,655","30,480","43,553","83,794","93,528","88,466"
Estados Unidos Mexicanos,Mujeres,80-84 años,"443,659","25,470","20,901","27,365","37,149","25,054","23,209","13,802","23,380","15,180","20,408","29,373","57,779","64,251","60,338"
Estados Unidos Mexicanos,Mujeres,85-89 años,"256,703","15,339","12,624","16,399","22,322","15,226","13,966","8,368","13,762","8,836","11,614","16,346","32,691","35,464","33,746"
Estados Unidos Mexicanos,Mujeres,90-94 años,"96,794","5,797","4,812","5,953","8,405","5,649","5,233","2,990","5,161","3,323","4,382","6,212","12,431","13,507","12,939"
Estados Unidos Mexicanos,Mujeres,95-99 años,"39,812","2,676","2,230","2,936","4,008","2,642","2,293","1,341","2,237","1,310","1,758","2,277","4,532","4,941","4,631"
Estados Unidos Mexicanos,Mujeres,100 años y más,"11,247","1,081",887,"1,168","1,413",792,632,365,583,357,433,600,925,"1,026",985
Estados Unidos Mexicanos,Mujeres,No especificado,"697,187","19,450","11,227","14,562","19,935","18,169","19,380","13,622","30,468","19,883","28,858","62,646","148,361","169,157","121,469"
01 Aguascalientes,Total,Total,"1,184,996","39,783","32,240","56,068","99,316","70,769","17,482","11,589","92,487","43,012",0,0,0,"722,250",0
01 Aguascalientes,Total,00-04 años,"121,557","4,798","3,750","6,348","11,850","8,214","1,960","1,345","10,224","5,267",0,0,0,"67,801",0
01 Aguascalientes,Total,05-09 años,"128,874","4,820","3,932","6,621","12,168","8,830","1,965","1,339","10,793","5,632",0,0,0,"72,774",0
01 Aguascalientes,Total,10-14 años,"123,806","4,416","3,500","6,262","11,213","8,084","1,902","1,288","10,385","5,218",0,0,0,"71,538",0
01 Aguascalientes,Total,15-19 años,"121,428","4,153","3,352","6,102","10,732","7,408","1,999","1,145","10,162","4,801",0,0,0,"71,574",0
01 Aguascalientes,Total,20-24 años,"106,305","3,516","2,731","5,110","8,839","5,717","1,476","1,031","8,407","3,761",0,0,0,"65,717",0
01 Aguascalientes,Total,25-29 años,"93,604","3,002","2,641","4,340","7,529","5,365","1,243",960,"7,048","3,273",0,0,0,"58,203",0
01 Aguascalientes,Total,30-34 años,"88,726","2,846","2,519","4,219","7,594","5,705","1,220",982,"6,577","3,280",0,0,0,"53,784",0
01 Aguascalientes,Total,35-39 años,"86,254","2,602","2,273","3,733","6,579","5,534","1,203",895,"6,173","3,250",0,0,0,"54,012",0
01 Aguascalientes,Total,40-44 años,"73,084","1,963","1,641","3,005","5,400","4,057","1,060",709,"5,167","2,525",0,0,0,"47,557",0
01 Aguascalientes,Total,45-49 años,"60,198","1,683","1,361","2,367","4,072","3,000",816,556,"4,282","1,680",0,0,0,"40,381",0
01 Aguascalientes,Total,50-54 años,"49,980","1,359","1,055","1,984","3,348","2,399",671,372,"3,599","1,287",0,0,0,"33,906",0
01 Aguascalientes,Total,55-59 años,"37,543","1,153",863,"1,500","2,627","1,719",507,286,"2,611",926,0,0,0,"25,351",0
01 Aguascalientes,Total,60-64 años,"29,258",974,759,"1,248","2,115","1,373",443,203,"2,023",708,0,0,0,"19,412",0
01 Aguascalientes,Total,65-69 años,"21,004",778,544,"1,013","1,677",944,326,151,"1,528",510,0,0,0,"13,533",0
01 Aguascalientes,Total,70-74 años,"15,254",587,437,786,"1,254",859,257,121,"1,271",309,0,0,0,"9,373",0
01 Aguascalientes,Total,75-79 años,"10,673",411,322,570,921,632,193,84,891,202,0,0,0,"6,447",0
01 Aguascalientes,Total,80-84 años,"7,228",273,243,382,618,428,118,49,659,117,0,0,0,"4,341",0
01 Aguascalientes,Total,85-89 años,"4,061",183,161,228,379,220,63,30,389,76,0,0,0,"2,332",0
01 Aguascalientes,Total,90-94 años,"1,467",76,52,78,134,78,30,11,141,29,0,0,0,838,0
01 Aguascalientes,Total,95-99 años,551,25,22,35,56,43,8,1,51,14,0,0,0,296,0
